headline,summary,timestamp,link
Minions happily take a back seat in the ’70s-inspired ‘Rise of Gru’,,,https://www.washingtonpost.com/movies/2022/06/28/minions-the-rise-of-gru-movie-review/
The AI tool behind Thanos made facial animation in ‘The Quarry’ a snap,,,https://www.washingtonpost.com/video-games/2022/06/28/quarry-avengers-thanos/
Taco Bell’s next-generation drive-through restaurant concept elicits some nostalgia,,,https://www.washingtonpost.com/food/2022/06/28/taco-bell-defy-automated-drive-through/
He died on an Italian battlefield in WWII. Was he the lost cousin of a famous U.S. director?,,,https://www.washingtonpost.com/history/2022/06/28/spike-lee-cousin-killed-1945-world-war-ii/
Italy hits record June temperatures as another heat wave sweeps Europe,"Temperatures were 15 to 35 degrees above normal over much of Eastern Europe, the Mediterranean and North Africa.",,https://www.washingtonpost.com/climate-environment/2022/06/28/record-heat-europe-italy-rome-scandinavia/
Sea change? World leaders say ‘ocean emergency’ requires swift action.,Delegates from more than 20 nations are meeting in Lisbon to draft a treaty on protecting the world’s oceans.,,https://www.washingtonpost.com/climate-solutions/2022/06/28/united-nations-ocean-conference-climate-change/
Tips for making your rental home more energy-efficient,"There are simple, inexpensive ways to reduce energy use in your home, helping the environment and probably saving you money on your utility bills.",,https://www.washingtonpost.com/home/2022/06/28/energy-efficiency-tips-renters/
Supreme Court frees Louisiana to use GOP-drawn congressional map,A federal district judge said that the map likely diminishes the power of Black voters in the state.,,https://www.washingtonpost.com/politics/2022/06/28/supreme-court-louisiana-congressional-map/
Kamala Harris: Clarence Thomas said ‘quiet part out loud’ in abortion ruling,,,https://www.washingtonpost.com/politics/2022/06/28/kamala-harris-abortion-supreme-court-roe-wade/
GOP Rep. Boebert: ‘I’m tired of this separation of church and state junk’,,,https://www.washingtonpost.com/politics/2022/06/28/lauren-boebert-church-state-colorado/
The race for Illinois governor is a battle of billionaires,,,https://www.washingtonpost.com/nation/2022/06/27/illinois-wealthy-democratic-governor-spends-millions-gop-primary/
All the bombshells Cassidy Hutchinson dropped about Trump and Jan. 6,,,https://www.washingtonpost.com/politics/2022/06/28/cassidy-hutchinson-jan-6-testimony-takeaways/
Can Trump Secret Service agent be forced to testify? Clinton’s was.,,,https://www.washingtonpost.com/history/2022/06/28/trump-secret-service-clinton/
"Over and over, the White House was warned about not making Jan. 6 worse",,,https://www.washingtonpost.com/politics/2022/06/28/over-over-white-house-was-warned-about-not-making-jan-6-worse/
